name,tel,address,link
中村クリニック,03-3818-7677,東京都文京区小石川3-27-6 コスモ小石川103,http://www.nakamura.or.jp/
医療法人社団立命会 千石クリニック,03-5976-9960,東京都文京区本駒込6丁目2-1 栄泉堂ビル201,http://www.myclinic.ne.jp/painclinic/
むらい内科・循環器クリニック,03-3822-8010,東京都文京区千駄木3-43-3 1階,http://murai-clinic.com/
西岡クリニック,03-3812-1421,東京都文京区向丘1丁目10-2,HPはありません。
仙頭クリニック,03-3868-3350,東京都文京区本郷3-14-16 美工本郷第2ビル6階,http://www.green.dti.ne.jp/sento.clinic/
日原内科クリニック,03-3822-6262,東京都文京区千駄木2-13-1 ルネ千駄木プラザ2F,http://hihara-naika.byoinnavi.jp/
コパーズ茗荷谷クリニック,03-5976-2207,東京都文京区小日向4丁目7-20 コパーズ茗荷谷ビル1F,https://www.copars-myogadani.com/
文京内科・循環器クリニック,03-6304-1567,東京都文京区本駒込2-10-3 4階,https://www.bunkyo-cl.jp/
あいそめクリニック,03-6314-5944,東京都文京区千駄木3-40-17 CASA VERDE 2F,https://yanesen-kampo.jp/
文京小石川クリニック,03-5802-0055,東京都文京区小石川1-5-1 3F 303E,https://bkcl.jp/
こころとからだ相談クリニック,03-5809-0558,東京都文京区千駄木2-3-18 浅野ビル101,HPはありません。
医療法人社団春日会 伝通院クリニック,03-6912-1565,東京都文京区小日向4丁目6-18 アマーレ茗荷谷2階,http://dentsuin.jp/
似鳥クリニック,03-3827-1181,東京都文京区根津1-19-11,https://www.nitadori.com/
本郷内科クリニック,03-5684-1009,東京都文京区本郷4丁目24-7,http://www.myclinic.ne.jp/hongou_naika/
漢方・免疫たかはし内科クリニック,03-3816-3318,東京都文京区本郷4-1-1 玉屋ビル8階,https://www.kanpo-meneki-takahashi-naika-clinic.com/
春日駅前あべファミリークリニック,03-3830-0395,東京都文京区小石川2丁目1番12号 小石川トーセイビル6F,https://www.bunkyo-naika.com/
神楽坂ホームケアクリニック,03-5579-2331,東京都文京区関口1丁目13-14 向井ビル2階,http://khcc.jp/
江戸川橋胃腸肛門クリニック,03-3269-2020,東京都文京区関口1-19-6 弥助ビル5F,https://www.edb-ichou.com
医療法人社団 杏生会 文京根津クリニック,03-3821-2102,東京都文京区根津1-1-18 パライソ和田ビル3F,http://www.bunkyo-nezu.com/
東京保健生活協同組合 東京健生病院,03-3944-6111,東京都文京区大塚4丁目3-8,https://kensei.tokyo-health.coop/
江戸川橋さくらクリニック,03-5227-3433,東京都文京区関口1丁目1-6,http://www.edogawabashi-sakura-clinic.com
本郷ファミリークリニック,03-3868-7501,東京都文京区本郷1-33-8 ハウス本郷ビル6F,http://hongofc-daichinokai.com/
田中医院,03-3266-1407,東京都文京区関口1丁目1-3 プラザ飯田橋1F,http://www.kampo-tanakacl.com
医療法人社団湖歩会 ゆしまクリニック,03-3830-0099,東京都文京区湯島1-5-34 お茶の水医学会館6階,http://www.aiwoon.com/
本郷真砂ハートクリニック,03-3814-1155,東京都文京区本郷4-20-12,https://hongo-hc.com/
医療法人社団聖桐会 御茶ノ水聖橋クリニック,03-5689-6811,東京都文京区湯島1丁目9-15 HYビル2F,https://www.i-seitoukai.or.jp/
医療法人社団 中野小児科内科,03-5805-8551,東京都文京区白山1-33-23 ベルメゾン文京白山1F,http://www.nakano-shounikanaika.com/
しおざわクリニック,03-3945-3711,東京都文京区小日向4-4-3 カーネ小日向103号,http://shiozawa-clinic.com
クマモトクリニック,03-5685-0811,東京都文京区千駄木3丁目37-17 コスモ千駄木,https://kumamotoclinic.jp/
医療法人社団健康会 谷根千クリニック,03-3827-2731,東京都文京区根津2-33-14 ヴィラージュ藍染1F,http://yanesen.kenkokai.or.jp/
医療法人よつ葉の会 清家クリニック,03-3831-2438,東京都文京区湯島3丁目38-13 坂東ビル2F,http://www.seike-clinic.com/
藤原クリニック,03-3821-3767,東京都文京区千駄木3丁目2-7 リエス千駄木1F,http://fujiwara-cl.jp/
ダイナメディカル根津クリニック,03-5815-8687,東京都文京区根津2-14-9 ダイナシティ文京根津1F,http://www.nezucl.com/
サン・ヒルレディースクリニック,03-3823-8828,東京都文京区千駄木5-3-10 2F,http://www.sunhill-lc.net/
谷口医院,03-5395-7760,東京都文京区本駒込2丁目8-11,https://www.taniguchi-iin.com/
財団法人近藤記念医学財団 富坂診療所,03-3814-2662,東京都文京区本郷1丁目33-9 ドン・キホーテ後楽園店3F,http://www.tomisaka.or.jp/
山村クリニック,03-3818-5767,東京都文京区小石川5-37-6 井浦ビル1F,http://www.yamamura-clinic.com
一般財団法人 慈愛病院,03-3812-7360,東京都文京区本郷6丁目12-5,http://www.jiaibyoin.or.jp/
下司婦人科クリニック,03-5832-4122,東京都文京区根津2丁目14-11 Tツインズビル4F,http://www.geshi-clinic.com/
文京動坂診療所,03-3822-9680,東京都文京区千駄木4丁目15-3,http://www.bunkyo-dozaka.dr-clinic.jp/
おとわ内科・脳神経外科クリニック,03-6662-7755,東京都文京区音羽1-5-17,HPはありません。
アゴラ内科クリニック,03-6803-0976,東京都文京区湯島三丁目34-8 第一天神ビル2階201号,https://agora-medical.com/
松本医院,03-5832-9518,東京都文京区本駒込5-41-11 青木ビル1F,HPはありません。
医療法人社団TKG会 小日向台町クリニック,03-5981-9876,東京都文京区小日向3-7-4 メゾンたかむら2階,http://www.kohinatadaimachicl.com/
小石川柳町クリニック,03-5805-3749,東京都文京区小石川1丁目13-9 クリオ文京小石川103,https://koishikawa-cl.com/
小石川循環器内科クリニック,03-6801-8450,東京都文京区小石川2丁目24-14,http://koishikawa-clinic.com/
三輪医院,03-5976-9933,東京都文京区千石4丁目26-8,https://miwaclinic.jimdofree.com/
大塚診療所,03-3831-2294,東京都文京区湯島3丁目31-6,http://www.ohtsukaclinic.com/
医療法人社団同友会 春日クリニック,03-3813-0080,東京都文京区小石川1-12-16 TGビル,http://www.do-yukai.com/kasuga/
医療法人社団松盛会 みらいメディカルクリニック茗荷谷,03-3943-0123,東京都文京区大塚1丁目4-15 アトラスタワー2階,https://www.mirai-mc.com/
茗荷谷なかむらクリニック,03-3945-6161,東京都文京区小日向4-5-16 ツインヒルズ茗荷谷1F,http://myogadani-cl.jp
がん・感染症センター東京都立駒込病院,03-3823-2101,東京都文京区本駒込3丁目18-22,http://www.cick.jp/index.html
かみやレディースクリニック,03-5977-8811,東京都文京区本駒込2丁目10-7 濱田ビル1F,http://www5b.biglobe.ne.jp/~kamiya/
学校法人順天堂 順天堂大学医学部附属順天堂医院,03-3813-3111,東京都文京区本郷3丁目1-3,http://www.juntendo.ac.jp/
国立大学法人 東京大学医学部附属病院,03-3815-5411,東京都文京区本郷七丁目3-1,http://www.h.u-tokyo.ac.jp/index.html
ゆき医院,03-5840-8660,東京都文京区本郷5丁目26-2 東大赤門前ビル3F,http://www.yuki-mcl.jp/
国立大学法人 東京医科歯科大学病院(医系診療部門),03-3813-6111,東京都文京区湯島1丁目5-45,HPはありません。
寺田医院,03-3812-1821,東京都文京区小石川一丁目5-1 パークコート文京小石川ザタワー111,HPはありません。
医療法人社団大坪会 東都文京病院,03-3831-2181,東京都文京区湯島3丁目5-7,HPはありません。
医療法人社団森谷会 森谷医院,03-3821-0128,東京都文京区千駄木5丁目43-11,HPはありません。
石原医院,03-3941-8526,東京都文京区小日向1丁目6-6,HPはありません。
医療法人社団高慈会 団子坂くつろぎクリニック,03-5834-7702,東京都文京区千駄木5丁目21-12 カサデコリーナ1F,HPはありません。
医療法人社団光永会 光永クリニック,03-3943-0270,東京都文京区千石4丁目4-1,http://www.mitsunagaclinic.com
医療法人社団健永いずみ会 岩瀬クリニック,03-5940-7151,東京都文京区小日向4丁目6-15 茗荷谷駅MFビル4F,https://www.hospita.jp/detail/890/
くろだ医院,03-5804-3211,東京都文京区白山5丁目36-9 白山麻の実ビル2階,http://www.kurodaiin.jp/index.html
医療法人社団愛明会 内科小児科にわ医院,03-3824-0482,東京都文京区千駄木4丁目8-12,http://www.tcn-catv.ne.jp/~a-niwacli/
医療法人社団 すずき医院,03-3941-1590,東京都文京区目白台1丁目23-7 グリーンヒルズ目白台1階,http://suzukiiin.jp/
小石川インターナショナルクリニック,03-6757-2060,東京都文京区白山2丁目29-4 泉白山ビル1F,http://www.kic.clinic/
森内科,03-3945-8188,東京都文京区大塚3-35-8 1F,http://park19.wakwak.com/~morinaika/
医療法人社団スペクトラム 東京血管外科クリニック 東京下肢静脈瘤センター,03-4577-7523,東京都文京区後楽-1-1-1 TKセントラルビル2階,http://www.tokyokekkan.com/
文京整形外科,03-5940-3123,東京都文京区千石1-27-8 千石ビル3階,http://www.bunkyo-seikei.jp/
ハイメディック・東大病院,0120-374-004,東京都文京区本郷7丁目3-1 東京大学医学部附属病院22世紀医療センター内,http://www.himedic.jp/index.html
医療法人社団静晴会 山田胃腸科外科医院,03-3821-3381,東京都文京区根津1丁目16-10,http://www.ymc.or.jp/
後楽園駅前診療所,03-6801-8191,東京都文京区小石川2丁目6-5 小石川二丁目ビル1F,http://www.kourakuen-cl.jp/index.html
タツノ内科・循環器科,03-5800-0203,東京都文京区本郷5丁目1-16 地下1階,http://www.tatsuno-clinic.com/pc/
日本医科大学腎クリニック,03-3821-1601,東京都文京区本駒込一丁目7-15 アサカビル,https://www.nms.ac.jp/jin/
医療法人社団杉交会 杉山クリニック,03-3944-5933,東京都文京区千石二丁目13-13,http://www.ne.jp/asahi/sugiyama/clinic/
えなのさとクリニック,03-5976-3065,東京都文京区大塚3丁目1-10 ラ・ネージュ小石川206号,https://www.enanosato.com/
東京保健生活協同組合 セツルメント菊坂診療所,03-3811-0016,東京都文京区小石川1丁目24-3,http://www.youseikai.com/
春日後楽園しのぶクリニック,03-3813-0022,東京都文京区小石川一丁目1-7 文京ガーデンセンターテラス 202,HPはありません。
うすだクリニック,03-5840-8250,東京都文京区本郷4丁目36-5 ネオパリエ1階,HPはありません。
猪狩医院,03-3822-4735,東京都文京区根津1丁目16-8 中村ビル201号,HPはありません。
医療法人社団靜美会 駒込かせだクリニック,03-5832-5665,東京都文京区本駒込4丁目19-16 タウンハイム本駒込1F,HPはありません。
吉行医院,03-3821-7994,東京都文京区千駄木2丁目34-10,HPはありません。
医療法人社団真寿会 田代医院,03-3823-0871,東京都文京区向丘2丁目20-3,HPはありません。
医療法人社団和幸会 上田医院,03-3943-0268,東京都文京区音羽1丁目20-15,HPはありません。
ようようインターナショナルクリニック,03-3946-5886,東京都文京区春日2丁目11-8 藤和春日ホームズ304,HPはありません。
心陽クリニック,03-6801-6160,東京都文京区本郷2丁目29-3 UK'Sビル3階,HPはありません。
駒込富士クリニック,03-5815-3405,東京都文京区本駒込三丁目34-10,HPはありません。
医療法人社団龍岡会 大森医院,03-3811-0888,東京都文京区湯島4丁目9-8,HPはありません。
坂巻クリニック,03-3941-6074,東京都文京区水道2丁目14-7,HPはありません。
医療法人社団七星会 カスガメディカルクリニック,03-5689-8211,東京都文京区本郷4丁目24-8 春日タワービル3F,HPはありません。
医療法人社団一如会 相田医院,03-3811-4859,東京都文京区本郷二丁目39-13,HPはありません。
医療法人社団一灯会 八千代診療所,03-3811-4519,東京都文京区白山1丁目5-8,HPはありません。
医療法人社団翔貴会 須田整形外科クリニック,03-3811-0881,東京都文京区後楽2丁目23-15,HPはありません。
日本医科大学健診医療センター,03-5814-6651,東京都文京区千駄木1丁目12-15,HPはありません。
あかるい診療所,03-5615-9501,東京都文京区湯島1-6-1 利根川第二ビル6階,https://akarui-clinic.com/
岡崎ハートクリニック,03-6280-8234,東京都文京区関口1丁目21-15,https://www.okazaki-hc.jp/
エミング千駄木クリニック,03-5834-2652,東京都文京区千駄木3-42-16,http://www.eming-s.com
本田医院,03-3814-5578,東京都文京区本郷4丁目30-12,http://www.myclinic.ne.jp/honda_cl/pc/
御茶ノ水ファミリークリニック,03-5844-1401,東京都文京区湯島1-9-14 プチモンドお茶の水8階,http://ocm-family-clinic.com/
医療法人社団拓諭会 やすだクリニック,03-3945-5055,東京都文京区大塚4丁目45-4,http://yasuda.clinic/
医療法人 東京在宅ケアクリニック,03-6240-0001,東京都文京区湯島1丁目5-34 お茶の水医学会館5階,http://tokyo-zaitaku.jp/
西片クリニック,03-5803-7080,東京都文京区西片2丁目25-8 モンテベルデ本郷西片,http://www.sangyoui.jp
水間クリニック,03-5976-7350,東京都文京区千石4丁目8-1,http://www.e-doctors-net.com/bunkyoH/mizuma.html
三浦内科クリニック,03-5319-3321,東京都文京区目白台二丁目12-5,http://www.miuranaikabunkyo.sakura.ne.jp/
医療法人社団藤翔会 加藤内科胃腸科クリニック,03-5319-1470,東京都文京区本駒込六丁目1-21 コロナ社第3ビル1F,http://www.katoh-clinic.jp/
近藤医院,03-3821-1804,東京都文京区本駒込5丁目60-6,http://www.catnet.ne.jp/h-kondo/
小林医院,03-3811-4630,東京都文京区小石川4丁目17-1,http://www53.tok2.com/home2/kobaiin/
坂口医院,03-3811-1560,東京都文京区本郷4丁目9-22 本郷フジビル,HPはありません。
守谷医院,03-3941-9673,東京都文京区水道2丁目10-1,HPはありません。
祐ホームクリニック,050-3784-2001,東京都文京区千石4-25-5 KSTビル3階,HPはありません。
医療法人社団緑寿会 小林クリニック,03-5689-2025,東京都文京区小石川3丁目16-19,HPはありません。
千駄木クリニック,03-3823-3553,東京都文京区千駄木1-19-12 綾部ハイツ1F,HPはありません。
飯田医院,03-3811-4952,東京都文京区本郷2丁目32-12,HPはありません。
医療法人社団尚実会 星合病院,03-3943-2626,東京都文京区水道2丁目9-9,HPはありません。
医療法人悠輝会 コーラルクリニック,03-5844-3133,東京都文京区本郷4丁目1-7 第2近江屋ビル301,HPはありません。
小日向診療所,03-5810-1505,東京都文京区小日向二丁目19-9,HPはありません。
向井内科クリニック,03-6912-1304,東京都文京区目白台3丁目16-12,HPはありません。
東京保健生活協同組合 大塚診療所,03-3947-5521,東京都文京区大塚六丁目9-10,HPはありません。
白土内科,03-5976-2100,東京都文京区大塚1丁目5-18,HPはありません。
医療法人社団護友会 友成第二医院,03-3941-8583,東京都文京区大塚5丁目40-18 友成フォーサイドビル1F,HPはありません。
齋藤医院,03-3824-1137,東京都文京区本駒込3丁目5-10,HPはありません。
三橋医院,03-3816-3284,東京都文京区小石川4丁目20-1 イトークリエイトビル6F,HPはありません。
大橋内科クリニック,03-5842-8670,東京都文京区西片二丁目15-11,HPはありません。
森田医院,03-3823-4919,東京都文京区向丘2丁目35-2,HPはありません。
近藤クリニック,03-3944-1820,東京都文京区千石四丁目3-16,HPはありません。
医療法人社団芳明会 小石川医院,03-3816-3151,東京都文京区春日2丁目10-18 ランダム小石川101,HPはありません。
やよい在宅クリニック,03-6240-0737,東京都文京区弥生1丁目5-11,HPはありません。
医療法人社団廣和会 文京駒込訪問クリニック,03-5834-0335,東京都文京区本駒込5丁目20-4 メゾンブロンシュ本駒込102,HPはありません。
福地医院,03-3821-1431,東京都文京区本駒込4丁目30-2,HPはありません。
鈴木医院,03-3941-6615,東京都文京区本駒込二丁目28-35,HPはありません。
医療法人社団LSM 寺本内科・歯科クリニック,03-5684-0818,東京都文京区本郷5丁目25-13,HPはありません。
グリーンコート内科クリニック,03-5977-3820,東京都文京区本駒込2丁目28-10 文京グリーンコートイーストウィング,HPはありません。
早期緩和ケア大津秀一クリニック,03-6912-0217,東京都文京区目白台2丁目13-2 KBビル402,HPはありません。
一般社団法人 文京区医師会付属診療所,03-3823-2217,東京都文京区千駄木2丁目26-8,HPはありません。
医療法人社団弘寿会 小石川ホームクリニック,03-3868-8282,東京都文京区小石川4丁目20-1 イトークリエイト小石川ビル3F,HPはありません。
医療法人社団優舜会 石川クリニック,03-3814-3456,東京都文京区本郷5丁目29-12 赤門ロイヤルハイツ103,HPはありません。
動坂クリニック,03-3822-5605,東京都文京区本駒込4丁目42-4,HPはありません。
奥田医院,03-3831-8371,東京都文京区湯島三丁目8-2,HPはありません。
加藤診療所,03-3941-7522,東京都文京区本駒込2丁目18-2,HPはありません。
本郷鐙坂医院,03-6906-9901,東京都文京区本郷4丁目11-2,HPはありません。
公益法人 天心診療所,03-3944-5086,東京都文京区本駒込6丁目11-9,HPはありません。
